Attribute,Short Name
acceptedSessionDescriptions,asd
accessControlAttributes,aca
accessControlAuthenticationFlag,acaf
accessControlContexts,acco
accessControlEvalCriteria,acec
accessControlIpAddresses,acip
accessControlLimit,acl
accessControlLocationRegion,aclr
accessControlObjectDetails,acod
accessControlOperations,acop
accessControlOriginators,acor
accessControlPolicy,acp
accessControlPolicyAnnc,acpA
accessControlPolicyIDs,acpi
accessControlRule,acr
accessControlUserIDs,acui
accessControWindow,actw
action,acn
action,actr
actionAnnc,actrA
actionPrimitive,apv
actionPriority,apy
actionResult,air
actionStatusEntry,swid
activate,act
activateConditions,atcos
activationTime,actt
activeCmdhPolicy,acmp
activeCmdhPolicyLink,acmlk
activeStatus,acts
activityPattern,apt
activityPatternElements,ape
additionalBackoffTime,abt
additions,adds
AE,ae
AE-ID,aei
AE-IDList,ail
AEAnnc,aeA
AEContactList,alst
AEContactListPerCSE,alpc
AEReferenceIDChange,aerid
AERegistrationPointChange,aerp
aggregatedNotification,agn
aggregatedRequest,arq
aggregatedResponse,agr
aggregatedSoftwareStatus,asws
algorithmType,algt
allJoynApp,ajap
allJoynAppAnnc,ajapA
allJoynInterface,ajif
allJoynInterfaceAnnc,ajifA
allJoynMethod,ajmd
allJoynMethodAnnc,ajmdA
allJoynMethodCall,ajmc
allJoynMethodCallAnnc,ajmcA
allJoynProperty,ajpr
allJoynPropertyAnnc,ajprA
allJoynSvcObject,ajso
allJoynSvcObjectAnnc,ajsoA
allowedAEs,aae
allowedApp-IDs,aai
allowedRole-IDs,ari
allowedUsers,allu
announcedAttribute,aa
announceSyncType,ast
announceTo,at
anyArg,any
App-ID,api
applicability,appl
applicableCredIDs,apci
applicableEventCategories,aecs
applicableEventCategory,aec
applyRelativePath,arp
appName,apn
areaNwkDeviceInfo,andi
areaNwkDeviceInfoAnnc,andiA
areaNwkId,awi
areaNwkInfo,ani
areaNwkInfoAnnc,aniA
areaNwkType,ant
assignedTokenIdentifiers,ati
associatedCrossResourceSub,acrs
attached,att
attribute,atr
attributeList,atrl
attributeName,atn
audience,tkau
authID,aid
authorizationDecision,auds
authorizationDecisionResourceIDs,adri
authorizationInformation,auif
authorizationInformationResourceIDs,airi
authorizationPolicy,aupy
authorizationPolicyResourceIDs,apri
authorRelIndicator,auri
authorSignIndicator,asi
authorSignReqInfo,asri
authorSigns,aus
backgroundDataTransfer,bdt
backOffParameters,bop
backOffParametersSet,bops
batchNotify,bn
battery,bat
batteryAnnc,batA
batteryLevel,btl
batteryStatus,bts
beaconCriteria,bcnc
beaconInterval,bcni
beaconRequester,bcnr
beaconThreshold,bcnt
callStatus,clst
campaignEnabled,swce
campaignStatus,swcs
capabilityActionStatus,cas
capabilityName,can
certificates,escert
