Attribute,Short Name
adminFQDN,adfq
appID,apid
authenticationProfile,autp
certFingerprint,cfp
childResource,ch
completeTime,cpt
containerPath,cntp
creationTime,ct
CSE-ID,csi
CSEBase,cb
dataCollection,datc
dataCollectionAnnc,datcA
description,dc
expirationTime,et
externalID,eid
fqdn,fq
httpPort,hpt
labels,lbl
lastModifiedTime,lt
MAFClientRegCfg,macrc
MAFKeyRegDuration,mkrd
MAFKeyRegLabels,mkrl
measurementSchedule,mesc
MEFClientRegCfg,mecrc
mgmtDefinition,mgd
mgmtLink,cmlk
myCertFileContent,mcfc
myCertFileCred,nycfc
myCertFileFormat,mcff
mycertFingerprint,mcfp
name,nm
objectIDs,obis
objectPaths,obps
originatorID,oid
parentID,pi
pointOfAccess,poa
rawPubKeyID,rpki
registration,reg
registrationAnnc,regA
reportingSchedule,rpsc
resourceID,ri
resourceName,rn
resourceType,ty
SUID,suid
SUIDs,suids
symmKeyID,aski
symmKeyValue,skv
TLSCiphersuites,tlcs
Trigger-Recipient-ID,tri
trustAnchorCred,tac
type,typ
URI,uri
value,val
websocketPort,wpt
