3DPrinter,thdpr
absoluteEnergyConsumption,abecn
absoluteStartTime,abste
absoluteStopTime,abst0
acousticSensor,acosr
acousticStatus,acoss
activate,actie
activateClockTimer,acctr
address,addrs
adfStates,adfss
airCleanOperationMode,acom0
airConJobMode,acjme
airConOperationMode,acome
airFlow,airfw
airPurifierJobMode,apjme
airPurifierOperationMode,apome
airQualitySensor,aiqsr
alarm,alarm
alarmSpeaker,alasr
alarmStatus,alass
altitude,altie
answer,answr
audioVolume,audve
autoDocumentFeeder,audfr
automode,autoe
availableChannels,avacs
basalMetabolism,basmm
bath,bath
battery,bat
batteryThreshold,battd
binaryObject,binot
binarySwitch,binsh
bioElectricalImpedanceAnalysis,beias
blue,blue
bmi,bmi
bodyCompositionAnalyser,bocar
bodyLength,bodlh
boiler,boilr
boilingSwitch,boish
bone,bone
brewing,brewg
brewingSwitch,bresh
brightness,brigs
call,call
callerID,calid
callState,calse
capacity,capay
ch2o,ch2o
channel,chanl
channelId,chaid
channelName,chane
charging,charg
chargingCapacity,chacy
clock,clock
close,close
clothesDryerJobMode,cdjme
clothesDryerOperationMode,cdome
clothesWasherDryerJobMode,cwdjm
clothesWasherDryerOperationMode,cwdom
clothesWasherJobMode,cwjme
clothesWasherJobModeOption,cwjmo
clothesWasherOperationMode,cwome
co,co
co2,co2
coarseness,coars
code,code
coldWash,colwh
colour,color
colourSaturation,colsn
component,compt
concentration,concn
contextCarbohydratesAmount,cocat
contextCarbohydratesSource,cocse
contextExercise,conee
contextHealth,conhh
contextLocation,conln
contextMeal,conml
contextMedication,conmn
contextTester,contr
controlPanelLock,coplk
cookerHoodJobMode,chjme
country,couny
cpuUsage,cpuue
credentials,creds
cuff,cuff
cupsNumber,cupnr
current,currt
currentAdfState,cuase
currentDate,curde
currentJobMode,cujme
currentJobModeName,cjmne
currentJobState,cujse
currentMachineState,cumse
currentPlayerMode,cupme
currentPlayerModeName,cpmne
currentSecurityMode,cusme
currentTemperature,curt0
currentTime,curte
currentTimeZone,cutze
currentValue,crv
customTemperature,custe
data,data
dataGenerationTime,dgt
