Attribute,Short Name
3DPrinter,thdpr
acousticSensor,acosr
activate,actie
activateClockTimer,acctr
address,addrs
airCleanOperationMode,acom0
airConJobMode,acjme
airConOperationMode,acome
airFlow,airfw
airPurifierJobMode,apjme
airPurifierOperationMode,apome
airQualitySensor,aiqsr
alarmSpeaker,alasr
answer,answr
audioVolume,audve
autoDocumentFeeder,audfr
battery,bat
binaryObject,binot
binarySwitch,binsh
bioElectricalImpedanceAnalysis,beias
bodyCompositionAnalyser,bocar
boiler,boilr
boilingSwitch,boish
brewing,brewg
brewingSwitch,bresh
brightness,brigs
call,call
channel,chanl
clock,clock
close,close
clothesDryerJobMode,cdjme
clothesDryerOperationMode,cdome
clothesWasherDryerJobMode,cwdjm
clothesWasherDryerOperationMode,cwdom
clothesWasherJobMode,cwjme
clothesWasherJobModeOption,cwjmo
clothesWasherOperationMode,cwome
colour,color
colourSaturation,colsn
controlPanelLock,coplk
cookerHoodJobMode,chjme
credentials,creds
cuff,cuff
customTemperature,custe
dataGenerationTime,dgt
deactivate,deace
deactivateClockTimer,dectr
decrementNumberValue,denve
dehumidifierJobMode,dejme
dehumidifierOperationMode,deome
deployPackage,deppe
Device3DPrinter,dtdpr
deviceAirConditioner,deacr
deviceAirPurifier,deapr
deviceAirQualityMonitor,daqmr
deviceAudioReceiver,dearr
deviceBloodPressureMonitor,dbpmr
deviceBottleWarmer,debwr
deviceCamera,devca
deviceClothesDryer,decdr
deviceClothesWasher,decwr
deviceClothesWasherDryer,dcwdr
deviceCoffeeMachine,decme
deviceCookerHood,dechd
deviceCooktop,devcp
deviceDehumidifier,devdr
deviceDishWasher,dedwr
deviceDoor,devd0
deviceDoorLock,dedlk
deviceElectricVehicleCharger,devcr
deviceFan,devfn
deviceFoodProbe,defpe
deviceFreezer,devfr
deviceGarbageDisposal,degdp
deviceGlucosemeter,devgr
deviceHeartRateMonitor,dhrmr
deviceHomeCCTV,dhcct
deviceHumidifier,devhr
deviceKettle,devke
deviceLight,devlt
deviceMicrogeneration,devmn
deviceMultiFunctionPrinter,dmfpr
deviceOutdoorLamp,deolp
deviceOven,devon
devicePrinter,devpr
devicePulseOximeter,depor
deviceRefrigerator,devrr
deviceRobotCleaner,dercr
deviceScanner,devsr
deviceSecurityPanel,despl
deviceSetTopBox,dstbx
deviceSmartElectricMeter,dsemr
deviceSmartPlug,despg
deviceSteamCloset,desct
deviceStorageBattery,desby
deviceSwitch,devsh
deviceTelevision,devtn
deviceThermometer,devtr
deviceThermostat,devtt
deviceWaterHeater,dewhr
deviceWaterPurifier,dewpr
deviceWaterValve,dewve
deviceWeightScaleAndBodyCompositionAnalyser,dwsab
deviceWindowShade,dewse
disable,disae
dishWasherJobMode,dwjme
dmAgent,dmagt
dmAreaNwkDeviceInfo,dando
dmAreaNwkInfo,danio
dmCapability,dmcay
dmDataModelIO,ddmio
dmDeviceInfo,dmdio
dmEventLog,dmelg
dmFirmware,dmfie
dmPackage,dmpae
dmSoftware,dmsoe
dmStorage,dmste
doorLock,doolk
doorlock,doork
doorStatus,dooss
downChannel,dowcl
downVolume,dowve
electricVehicleConnector,elvcr
enable,enabe
energyConsumption,enecn
energyGeneration,enegn
faultDetection,faudn
filterInfo,filio
flexNode,flene
foaming,foamg
format,formt
fridgeTemperature,frite
frozenTemperature,frote
geoLocation,geoln
glucometer,glucr
grinder,grinr
hangup,hangp
heatingZone,heaze
height,heigt
hotWaterSupply,howsy
impactSensor,impsr
incrementNumberValue,innve
install,instl
keepWarm,keewm
keypad,keypd
liquidLevel,liqll
liquidRemaining,liqrg
lock,lock
mediaInput,medit
mediaOutput,medot
mediaSelect,medst
milkFoaming,milfg
milkQuantity,milqy
milkStatus,milss
motionSensor,motsr
name,name
nextTrack,nextk
numberValue,numve
open,open
openLevel,opell
operationMode,opeme
overcurrentSensor,ovesr
oximeter,oximr
ozoneMeter,ozomr
payload,payld
phoneCall,phocl
playerControl,placl
powerOutlet,powot
powerSave,pows0
previousTrack,pretk
printerRunState,prrse
printQueue,priqe
pulsemeter,pulsr
pushButton,pusbn
readIO,reaio
reboot,rebot
rebootType,rebte
recorder,recor
refrigeration,refrn
relativeHumidity,relhy
remoteControlEnable,recee
resetNumberValue,renve
resetTextMessage,retme
robotCleanerJobMode,rcjme
robotCleanerOperationMode,rcome
runState,runse
scannerRunState,scrse
securityMode,secme
sessionDescription,sesdn
signalStrength,sigsh
sleepTimer,sletr
smokeSensor,smosr
sphygmomanometer,sphyr
spinLevel,spill
start3Dprint,stadt
steamClosetJobMode,scjme
steamClosetOperationMode,scome
stop3Dprint,stodt
subDeviceCuff,sudcf
subDevicePowerOutlet,sdpot
televisionChannel,telcl
temperature,tempe
temperatureAlarm,temam
textMessage,texme
timer,timer
toggle,togge
turbo,turbo
uninstall,uninl
unmount,unmot
upChannel,uphcl
updateFirmware,updfe
upVolume,upove
URL,url
uvSensor,uvesr
version,versn
waterFilterInfo,wafio
waterFlow,watfw
waterSensor,watsr
waterStatus,watss
weight,weigt
writeIO,wriio
