Attribute,Short Name
3DPrinter,thDPr
absoluteEnergyConsumption,abECn
absoluteStartTime,abSTe
absoluteStopTime,abST0
acousticSensor,acoSr
acousticStatus,acoSs
activate,actie
activateClockTimer,acCTr
address,addrs
adfStates,adfSs
airCleanOperationMode,aCOM0
airConJobMode,aCJMe
airConOperationMode,aCOMe
airFlow,airFw
airPurifierJobMode,aPJMe
airPurifierOperationMode,aPOMe
airQualitySensor,aiQSr
alarm,alarm
alarmSpeaker,alaSr
alarmStatus,alaSs
altitude,altie
answer,answr
audioVolume,audVe
autoDocumentFeeder,auDFr
automode,autoe
availableChannels,avaCs
basalMetabolism,basMm
bath,bath
battery,bat
batteryThreshold,batTd
binaryObject,binOt
binarySwitch,binSh
bioElectricalImpedanceAnalysis,bEIAs
blue,blue
bmi,bmi
bodyCompositionAnalyser,boCAr
bodyLength,bodLh
boiler,boilr
boilingSwitch,boiSh
bone,bone
brewing,brewg
brewingSwitch,breSh
brightness,brigs
call,call
callerID,calID
callState,calSe
capacity,capay
ch2o,ch2o
channel,chanl
channelId,chaId
channelName,chaNe
charging,charg
chargingCapacity,chaCy
clock,clock
close,close
clothesDryerJobMode,cDJMe
clothesDryerOperationMode,cDOMe
clothesWasherDryerJobMode,cWDJM
clothesWasherDryerOperationMode,cWDOM
clothesWasherJobMode,cWJMe
clothesWasherJobModeOption,cWJMO
clothesWasherOperationMode,cWOMe
co,co
co2,co2
coarseness,coars
code,code
coldWash,colWh
colour,color
colourSaturation,colSn
component,compt
concentration,concn
contextCarbohydratesAmount,coCAt
contextCarbohydratesSource,coCSe
contextExercise,conEe
contextHealth,conHh
contextLocation,conLn
contextMeal,conMl
contextMedication,conMn
contextTester,conTr
controlPanelLock,coPLk
cookerHoodJobMode,cHJMe
country,couny
cpuUsage,cpuUe
credentials,creds
cuff,cuff
cupsNumber,cupNr
current,currt
currentAdfState,cuASe
currentDate,curDe
currentJobMode,cuJMe
currentJobModeName,cJMNe
currentJobState,cuJSe
currentMachineState,cuMSe
currentPlayerMode,cuPMe
currentPlayerModeName,cPMNe
currentSecurityMode,cuSMe
currentTemperature,curT0
currentTime,curTe
currentTimeZone,cuTZe
currentValue,crv
customTemperature,cusTe
data,data
dataGenerationTime,dgt
dataModelType,daMTe
dataSourceID,daSID
dataType,datTe
deactivate,deace
deactivateClockTimer,deCTr
decrementNumberValue,deNVe
defaultValue,defVe
defrost,defrt
dehumidifierJobMode,deJMe
dehumidifierOperationMode,deOMe
deployPackage,depPe
description,dc
desiredHumidity,desHy
detectedTime,detTe
Device3DPrinter,dTDPr
deviceAirConditioner,deACr
deviceAirPurifier,deAPr
deviceAirQualityMonitor,dAQMr
deviceAudioReceiver,deARr
deviceBloodPressureMonitor,dBPMr
deviceBottleWarmer,deBWr
deviceCamera,devCa
deviceClothesDryer,deCDr
deviceClothesWasher,deCWr
deviceClothesWasherDryer,dCWDr
deviceCoffeeMachine,deCMe
deviceCookerHood,deCHd
deviceCooktop,devCp
deviceDehumidifier,devDr
deviceDishWasher,deDWr
deviceDoor,devD0
deviceDoorLock,deDLk
deviceElectricVehicleCharger,dEVCr
deviceFan,devFn
deviceFoodProbe,deFPe
deviceFreezer,devFr
deviceGarbageDisposal,deGDp
deviceGlucosemeter,devGr
deviceHeartRateMonitor,dHRMr
deviceHomeCCTV,dHCCT
deviceHumidifier,devHr
deviceKettle,devKe
deviceLight,devLt
deviceMicrogeneration,devMn
deviceMultiFunctionPrinter,dMFPr
deviceOutdoorLamp,deOLp
deviceOven,devOn
devicePrinter,devPr
devicePulseOximeter,dePOr
deviceRefrigerator,devRr
deviceRobotCleaner,deRCr
deviceScanner,devSr
deviceSecurityPanel,deSPl
deviceSetTopBox,dSTBx
deviceSmartElectricMeter,dSEMr
deviceSmartPlug,deSPg
deviceSteamCloset,deSCt
