Attribute,Short Name
adminFQDN,adfq
caCerts,cact
certAuth,cert
certProvCmdArgs,cpca
certProvProtocolID,cppi
cmdArgs,cma
cmdClassID,ccid
cmdDescription,mccd
cmdID,mcci
cmdStatusCode,mccs
completeTime,cpt
creationTime,ct
creator,cr
credID,crdi
CSE-ID,csi
cseType,cst
devCfgCmdArgs,dcca
deviceConfigURI,dcu
expirationTime,et
fqdn,fq
httpPort,hpt
keyValue,kv
labels,lbl
MAFBase,maf
mafClientReg,macr
MEFBase,mef
mefClientCmd,mcc
mefClientReg,mecr
MONodeCmdArgs,nnca
noMoreCmdArgs,nmca
objectPath,ajop
objectTypeID,otyp
objectTypeSpecificArgs,otsa
parentID,pi
ppsk,pk
resourceID,ri
resourceName,rn
resourceType,ty
retryDuration,rdu
rpsk,rk
SUID,suid
symmKeyID,aski
symmKeyReg,mkr
targetID,tgi
targetIDs,tgis
URI,uri
websocketPort,wpt
